componentType	rareItems	rewardItems	ultraRareItems	decoItems
s	s	s	s	s
armor	object/tangible/ship/components/weapon_capacitor/cap_rendili_overseer_j8.iff	object/tangible/ship/components/weapon_capacitor/cap_freitek_x7a.iff	item_bespin_space_build01_lambda_blueprint_01	object/tangible/item/bespin/hydrospanner_blue_effect.iff
engine	object/tangible/ship/components/weapon_capacitor/cap_subpro_gallant_a1.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher_3.iff		object/tangible/space/special_loot/bespin_distress_call_cargo_crate_container_s01.iff
reactor	object/tangible/ship/components/weapon_capacitor/cap_sds_special_imperial_2.iff	object/tangible/ship/components/weapon/wpn_incom_advanced_blaster.iff		object/tangible/space/special_loot/bespin_distress_call_cargo_crate_container_s01.iff
shield	object/tangible/ship/components/weapon_capacitor/cap_gallofree_lt22.iff	object/tangible/ship/components/weapon/wpn_mandal_annilhator_mk1.iff		object/tangible/furniture/bespin/space/bespin_frn_module_mining_floor.iff
weap_cap	object/tangible/ship/components/weapon_capacitor/cap_incom_special_bjn825.iff	object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_4.iff		object/tangible/furniture/bespin/space/bespin_frn_module_mining_bare_full.iff
weapon	object/tangible/ship/components/weapon_capacitor/cap_mission_reward_rebel_qualdex_battery_array.iff	object/tangible/ship/components/weapon/wpn_taim_kx5b_experimental.iff		object/tangible/furniture/bespin/space/bespin_frn_module_mining_bare_half.iff
	object/tangible/ship/components/weapon_capacitor/cap_moncal_modified_heavy.iff	object/tangible/ship/components/weapon/wpn_blastech_inferno.iff		object/tangible/furniture/bespin/space/bespin_frn_module_mining_floor.iff
	object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx2.iff			object/tangible/furniture/bespin/space/bespin_frn_module_mining_full.iff
	object/tangible/ship/components/weapon_capacitor/cap_sorosuub_dynamo_mk3.iff			object/tangible/furniture/bespin/space/bespin_frn_module_mining_half.iff
	object/tangible/ship/components/weapon_capacitor/cap_sorosuub_flash.iff			object/tangible/furniture/bespin/space/bespin_frn_module_mining_floor.iff
	object/tangible/ship/components/weapon_capacitor/cap_kse_elite_mk5.iff			object/tangible/space/special_loot/bespin_distress_call_cargo_crate_container_s01.iff
	object/tangible/ship/components/weapon_capacitor/cap_tiefighter_experimental.iff			object/tangible/space/special_loot/bespin_distress_call_cargo_crate_container_s01.iff
	object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_experimental.iff			object/tangible/item/bespin/hydrospanner_blue_effect.iff
	object/tangible/ship/components/engine/eng_sfs_imperial_5.iff			
	object/tangible/ship/components/shield_generator/shd_koensayr_deflector_advanced.iff			
	object/tangible/ship/components/shield_generator/shd_kse_mk6.iff			
	object/tangible/ship/components/shield_generator/shd_mandal_flexshield_kx1.iff			
	object/tangible/ship/components/shield_generator/shd_moncal_ionweb_advanced.iff			
	object/tangible/ship/components/shield_generator/shd_sfs_polyweb_4.iff			
	object/tangible/ship/components/shield_generator/shd_taim_enhanced_advanced.iff			
	object/tangible/ship/components/shield_generator/shd_cygnus_elite.iff			
	object/tangible/ship/components/reactor/rct_sorosuub_fusion_reactor_2.iff			
	object/tangible/ship/components/reactor/rct_kse_rct_x.iff			
	object/tangible/ship/components/reactor/rct_subpro_aurora_max.iff			
	object/tangible/ship/components/reactor/rct_slayn_vortex_mk3.iff			
