componentType	schematics	flightPlan	rareItems	rewardItems	decoItems
s	s	s	s	s	s
armor	item_interdiction_terminal_schematic	item_interdiction_data_disk_06	object/tangible/ship/components/engine/eng_t86_shooting_star.iff	object/tangible/ship/components/armor/arm_mission_reward_imperial_rss_special_durasteel.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
engine	item_reward_eng_elite_mk2_schematic	item_interdiction_data_disk_05	object/tangible/ship/components/engine/eng_kuat_m24.iff	object/tangible/ship/components/armor/arm_mission_reward_imperial_sfs_light_military.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
reactor	item_space_weapon_efficiency_booster	item_interdiction_data_disk_05	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/armor/arm_mission_reward_neutral_kse_handcrafted.iff	object/tangible/space/special_loot/piracy_small_cargo_arm.iff
shield	item_space_weapon_efficiency_booster	item_interdiction_data_disk_04	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/armor/arm_mission_reward_rebel_corellian_triplate.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
weap_cap	item_space_weapon_efficiency_booster	item_interdiction_data_disk_04	object/tangible/ship/components/armor/arm_moncal_elite_weave.iff	object/tangible/ship/components/armor/arm_mission_reward_rebel_incom_ultralight.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
weapon	item_interdiction_terminal_schematic	item_interdiction_data_disk_04	object/tangible/ship/components/reactor/rct_taim_experimental_s2.iff	object/tangible/ship/components/booster/bst_mission_reward_imperial_rss_ion_booster.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
	item_reward_eng_elite_mk2_schematic	item_interdiction_data_disk_04	object/tangible/ship/components/weapon/wpn_hoersch_railgun.iff	object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_m_series.iff	object/tangible/space/special_loot/piracy_storage_pod_container.iff
	item_reward_shd_military_deflector_shields_schematic	item_interdiction_data_disk_05	object/tangible/ship/components/weapon/wpn_corellian_heavy_gauss.iff	object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_q_series.iff	object/tangible/space/special_loot/piracy_storage_pod_container.iff
	item_space_shield_high_capacity_projector	item_interdiction_data_disk_05	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/booster/bst_mission_reward_rebel_novaldex_hypernova.iff	object/tangible/space/special_loot/piracy_storage_pod_rack_container.iff
	item_space_shield_high_capacity_projector	item_interdiction_data_disk_06	object/tangible/ship/components/engine/eng_quantum_ion_drive.iff	object/tangible/ship/components/booster/bst_mission_reward_rebel_qualdex_halcyon.iff	object/tangible/space/special_loot/piracy_storage_pod_container.iff
	item_space_shield_high_capacity_projector			object/tangible/ship/components/droid_interface/ddi_mission_reward_imperial_sfs_military_grade.iff	object/tangible/space/special_loot/piracy_cargo_databank.iff
	item_reward_eng_elite_mk2_schematic			object/tangible/ship/components/droid_interface/ddi_mission_reward_neutral_sorosuub_w19.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s01.iff
	item_interdiction_terminal_schematic			object/tangible/ship/components/droid_interface/ddi_mission_reward_rebel_moncal_d22.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s01.iff
	item_space_shield_high_capacity_projector			object/tangible/ship/components/droid_interface/ddi_mission_reward_rebel_novaldex_low_latency.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s02.iff
	item_space_weapon_efficiency_booster			object/tangible/ship/components/engine/eng_mission_reward_imperial_cygnus_megadrive.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s02.iff
				object/tangible/ship/components/engine/eng_mission_reward_neutral_mandal_inferno.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s03.iff
				object/tangible/ship/components/engine/eng_mission_reward_rebel_incom_military.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s04.iff
				object/tangible/ship/components/engine/eng_mission_reward_neutral_haor_chall_military.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s04.iff
				object/tangible/ship/components/reactor/rct_mission_reward_imperial_sds_high_output.iff	object/tangible/space/special_loot/piracy_debris_crate_container.iff
				object/tangible/ship/components/reactor/rct_mission_reward_neutral_subpro_military.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s01.iff
				object/tangible/ship/components/reactor/rct_mission_reward_rebel_slayn_hypervortex.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s02.iff
				object/tangible/ship/components/reactor/rct_mission_reward_imperial_rss_advanced_military.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s03.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/space/special_loot/piracy_cargo_freighter_crate_container_s04.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/space/special_loot/piracy_power_track.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_4m.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_4m.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_8m.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_gate.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_imperial_cygnus_starblaster.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_4m.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_imperial_sds_boltdriver.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_4m.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_neutral_borstel_disruptor.iff	object/tangible/space/special_loot/piracy_wall_modular_restraining_wall_8m.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_neutral_hk_military_blaster.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_neutral_mandal_light_blaster.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_rebel_incom_tricannon.iff	object/tangible/space/special_loot/piracy_scaffold.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_rebel_taim_ion_driver.iff	object/tangible/space/special_loot/piracy_cargo_pallet.iff
					object/tangible/space/special_loot/piracy_cargo_pallet.iff
					object/tangible/space/special_loot/piracy_cargo_pallet.iff
					object/tangible/veteran_reward/frn_vet_holo_deathstar.iff
