componentType	schematics	rareItems	rewardItems	decoItems
s	s	s	s	s
engine		object/tangible/ship/components/engine/eng_kuat_m24.iff	item_bespin_space_build02_lambda_blueprint_02	object/tangible/space/special_loot/military_frn_pilot_chair_lambda.iff
reactor		object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	item_bespin_space_build02_lambda_blueprint_02	object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
shield		object/tangible/ship/components/armor/arm_moncal_elite_weave.iff	item_bespin_space_build02_lambda_blueprint_02	object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
weap_cap		object/tangible/ship/components/reactor/rct_taim_experimental_s2.iff	item_bespin_space_build04_lambda_blueprint_04	object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
weapon		object/tangible/ship/components/weapon/wpn_hoersch_railgun.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon_capacitor/cap_incom_special_bjn825.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/shield_generator/shd_cygnus_elite.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon/wpn_cygnus_eradicator_1.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_4.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/armor/arm_kessel_imperial_rendili_crystalline_durasteel.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/armor/arm_koensayr_elite_plastisteel.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon/wpn_armek_sw7.iff		object/tangible/space/special_loot/military_foot_locker_container.iff
		object/tangible/ship/components/shield_generator/shd_kessel_rebel_sorosuub_ion_mesh_projection.iff		object/tangible/space/special_loot/military_foot_locker_container.iff
		object/tangible/ship/components/weapon/wpn_armek_elite.iff		object/tangible/space/special_loot/military_foot_locker_container.iff
		object/tangible/ship/components/weapon/wpn_kessel_imperial_rendili_prototype_x.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_advanced.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap3.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_experimental.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon_capacitor/cap_kse_elite_mk5.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/weapon_capacitor/cap_tiefighter_experimental.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/reactor/rct_slayn_vortex_mk3.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
		object/tangible/ship/components/reactor/rct_kse_lx21.iff		object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
				object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
				object/tangible/space/special_loot/military_frn_passenger_chair_lambda.iff
				object/tangible/space/special_loot/military_frn_pilot_chair_lambda.iff
